city,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Ahmedabad,Ahmedabad,01-01-2015,73.24,141.54,,18.22,17.15,,0.92,27.64,133.36,473.9122807,Severe
Ahmedabad,Ahmedabad,02-01-2015,73.24,141.54,,15.69,16.46,,0.97,24.55,34.06,473.9122807,Severe
Ahmedabad,Ahmedabad,03-01-2015,73.24,141.54,,19.3,29.7,,17.4,29.07,30.7,473.9122807,Severe
Ahmedabad,Ahmedabad,04-01-2015,73.24,141.54,,18.48,17.97,,1.7,18.59,36.08,473.9122807,Severe
Ahmedabad,Ahmedabad,05-01-2015,73.24,141.54,,21.42,37.76,,22.1,39.33,39.31,473.9122807,Severe
Ahmedabad,Ahmedabad,06-01-2015,73.24,141.54,,38.48,81.5,,45.41,45.76,46.51,473.9122807,Severe
Ahmedabad,Ahmedabad,07-01-2015,73.24,141.54,,40.62,130.77,,112.16,32.28,33.47,473.9122807,Severe
Ahmedabad,Ahmedabad,08-01-2015,73.24,141.54,,36.74,96.75,,80.87,38.54,31.89,473.9122807,Severe
Ahmedabad,Ahmedabad,09-01-2015,73.24,141.54,,31,48,,29.16,58.68,25.75,473.9122807,Severe
Ahmedabad,Ahmedabad,10-01-2015,73.24,141.54,,7.04,0,,132.07,8.29,4.55,473.9122807,Severe
Ahmedabad,Ahmedabad,11-01-2015,73.24,141.54,,55.8,24.53,,132.07,25.03,6.79,473.9122807,Severe
Ahmedabad,Ahmedabad,12-01-2015,73.24,141.54,,40.67,90.24,,52.04,51.84,45.89,473.9122807,Severe
Ahmedabad,Ahmedabad,13-01-2015,73.24,141.54,,44.2,87.09,,48.82,68.21,35.16,473.9122807,Severe
Ahmedabad,Ahmedabad,14-01-2015,73.24,141.54,,27.86,33.05,,19.2,52.65,20.96,473.9122807,Severe
Ahmedabad,Ahmedabad,15-01-2015,73.24,141.54,,16.96,16.6,,0.6,28.89,47.63,473.9122807,Severe
Ahmedabad,Ahmedabad,16-01-2015,73.24,141.54,,21.72,22.86,,1.63,38.27,46.03,473.9122807,Severe
Ahmedabad,Ahmedabad,17-01-2015,73.24,141.54,,24.73,34.75,,11.44,49.5,52.24,473.9122807,Severe
Ahmedabad,Ahmedabad,18-01-2015,73.24,141.54,,25.77,29.57,,6.1,48.43,53.49,473.9122807,Severe
Ahmedabad,Ahmedabad,19-01-2015,73.24,141.54,,26.88,27.45,,2.51,50.03,49.48,473.9122807,Severe
Ahmedabad,Ahmedabad,20-01-2015,73.24,141.54,,26.8,32.4,,7.92,58.87,56.37,473.9122807,Severe
Ahmedabad,Ahmedabad,21-01-2015,73.24,141.54,,33.56,39.28,,9.52,106.93,48.75,473.9122807,Severe
Ahmedabad,Ahmedabad,22-01-2015,73.24,141.54,,17.51,22.33,,9.05,23.71,42.22,473.9122807,Severe
Ahmedabad,Ahmedabad,23-01-2015,73.24,141.54,,27.96,47.79,,22.53,39.19,32.92,473.9122807,Severe
Ahmedabad,Ahmedabad,24-01-2015,73.24,141.54,,20.39,21.4,,2.03,40.07,32.49,473.9122807,Severe
Ahmedabad,Ahmedabad,25-01-2015,73.24,141.54,,20.43,20.19,,1.42,58.41,39.26,473.9122807,Severe
Ahmedabad,Ahmedabad,26-01-2015,73.24,141.54,,21.16,21.81,,2.27,43.73,39.83,473.9122807,Severe
Ahmedabad,Ahmedabad,27-01-2015,73.24,141.54,,21.7,23.26,,2.19,43.28,41.1,473.9122807,Severe
Ahmedabad,Ahmedabad,28-01-2015,73.24,141.54,,21.11,25.84,,5.72,36.52,62.42,473.9122807,Severe
Ahmedabad,Ahmedabad,29-01-2015,83.13,141.54,,28.71,33.72,,6.93,49.52,59.76,209,Poor
Ahmedabad,Ahmedabad,30-01-2015,79.84,141.54,,28.68,41.08,,13.85,48.49,97.07,328,Very Poor
Ahmedabad,Ahmedabad,31-01-2015,94.52,141.54,,32.66,52.61,,24.39,67.39,111.33,514,Severe
Ahmedabad,Ahmedabad,01-02-2015,135.99,141.54,,42.08,84.57,,43.48,75.23,102.7,782,Severe
Ahmedabad,Ahmedabad,02-02-2015,178.33,141.54,,35.31,72.8,,54.56,55.04,107.38,914,Severe
Ahmedabad,Ahmedabad,03-02-2015,139.7,141.54,,28.4,56.73,,30.61,33.79,73.6,660,Severe
Ahmedabad,Ahmedabad,04-02-2015,80.65,141.54,,22.83,24,,2.37,25.73,47.3,294,Poor
Ahmedabad,Ahmedabad,05-02-2015,58.36,141.54,,21.39,23.31,,2.6,32.66,53.54,149,Moderate
Ahmedabad,Ahmedabad,06-02-2015,79.29,141.54,,26.94,26.83,,1.16,67.41,59.3,190,Moderate
Ahmedabad,Ahmedabad,07-02-2015,88.7,141.54,,31.32,37.73,,7.29,80.09,44.76,247,Poor
Ahmedabad,Ahmedabad,08-02-2015,74.28,141.54,,27.3,33.42,,8.92,54.28,47.42,379,Very Poor
Ahmedabad,Ahmedabad,09-02-2015,113.93,141.54,,24.27,26.86,,4.32,48.73,39.94,341,Very Poor
Ahmedabad,Ahmedabad,10-02-2015,105.39,141.54,,18.21,18.75,,1.41,35.91,56.15,256,Poor
Ahmedabad,Ahmedabad,11-02-2015,66.52,141.54,,23.8,28.24,,6.34,66.58,53.14,388,Very Poor
Ahmedabad,Ahmedabad,12-02-2015,65.04,141.54,,30.1,44.21,,14.19,65.91,31.88,288,Poor
Ahmedabad,Ahmedabad,13-02-2015,103.36,141.54,,39.56,57.33,,18.18,80.43,40.11,510,Severe
Ahmedabad,Ahmedabad,14-02-2015,177.33,141.54,,47.58,77.85,,37.49,99.72,36.47,761,Severe
Ahmedabad,Ahmedabad,15-02-2015,113.25,141.54,,30.5,44.87,,15.55,69.71,33.78,475,Severe
Ahmedabad,Ahmedabad,16-02-2015,99.7,141.54,,28.1,47.31,,19.85,73.23,30.57,536,Severe
Ahmedabad,Ahmedabad,17-02-2015,80.61,141.54,,21.04,35.67,,15.96,54.7,36.2,479,Severe
Ahmedabad,Ahmedabad,18-02-2015,100.79,141.54,,25.93,41.91,,16.24,43.11,37.43,592,Severe
Ahmedabad,Ahmedabad,19-02-2015,107.99,141.54,,30.09,40.47,,11.25,84.86,31.94,427,Severe
Ahmedabad,Ahmedabad,20-02-2015,140.29,141.54,,36.14,68.85,,33.84,101.53,40.98,588,Severe
Ahmedabad,Ahmedabad,21-02-2015,239.96,141.54,,46.25,106.92,,61.95,84.87,33.55,1141,Severe
Ahmedabad,Ahmedabad,22-02-2015,142.96,141.54,,48.21,92.32,,45.45,62.96,34.77,669,Severe
Ahmedabad,Ahmedabad,23-02-2015,238.41,141.54,,55.07,131.32,,77.7,89.07,37.3,1247,Severe
Ahmedabad,Ahmedabad,24-02-2015,118.72,141.54,,32.01,42.56,,12.56,61.54,38.8,411,Severe
Ahmedabad,Ahmedabad,25-02-2015,52.99,141.54,,10.45,10.39,,2.23,32.76,67.25,292,Poor
Ahmedabad,Ahmedabad,26-02-2015,61.12,141.54,,16.81,20.92,,3.58,28.44,30.48,473.9122807,Severe
Ahmedabad,Ahmedabad,27-02-2015,61.12,141.54,,16.81,20.92,,3.58,28.44,30.48,473.9122807,Severe
Ahmedabad,Ahmedabad,28-02-2015,61.12,141.54,,16.81,20.92,,3.58,28.44,30.48,473.9122807,Severe
Ahmedabad,Ahmedabad,01-03-2015,61.12,141.54,,16.81,20.92,,3.58,28.44,30.48,473.9122807,Severe
Ahmedabad,Ahmedabad,02-03-2015,60.78,141.54,,18.21,27.34,,9.07,29.48,34.75,189,Moderate
Ahmedabad,Ahmedabad,03-03-2015,91.83,141.54,,28.71,40.76,,12.99,39.71,38.46,408,Severe
Ahmedabad,Ahmedabad,04-03-2015,93.88,141.54,,29.38,47.01,,18.21,62.75,46.79,383,Very Poor
Ahmedabad,Ahmedabad,05-03-2015,173.01,141.54,,42.27,90.73,,48.44,78.76,59.39,780,Severe
